Filename,Std_Time_ms,Enh_Time_ms,Std_Mem_MB,Enh_Mem_MB,Std_Density,Enh_Density,Std_Repeatability_%,Enh_Repeatability_%,Std_MatchingScore_%,Enh_MatchingScore_%
PSO_AT_00002.jpeg,16456.76,3967.12,1.72,19.86,102,898,28.43,60.13,85.29,96.43
PSO_AT_00007.jpeg,22114.69,4642.11,1.72,20.14,17,862,0.0,59.86,0.0,97.36
PSO_AT_00015.jpeg,15716.38,5013.1,1.72,22.83,22,1024,0.0,44.53,0.0,88.54
PSO_AT_00016.jpeg,13526.2,71.64,1.72,8.24,103,7,44.66,0.0,93.88,0.0
PSO_AT_00021.jpeg,12039.0,2297.62,1.72,14.77,5,632,0.0,51.42,0.0,95.03
PSO_AT_00023.jpeg,16965.46,6350.69,1.72,28.26,32,1355,21.88,39.93,41.18,92.16
PSO_AT_00029.jpeg,14693.79,5908.1,1.72,29.9,86,1575,50.0,41.02,95.56,92.55
PSO_AT_00032.jpeg,21596.37,6567.63,1.72,22.03,38,1000,0.0,54.0,0.0,95.41
PSO_AT_00036.jpeg,15687.74,4859.74,1.72,23.34,15,1041,0.0,44.67,0.0,85.16
PSO_AT_00039.jpeg,20366.06,6611.77,1.72,23.0,61,1347,45.9,72.98,87.5,97.13
PSO_AT_00046.jpeg,17434.74,3773.1,1.67,18.11,145,976,62.76,60.76,97.85,97.21
PSO_AT_00047.jpeg,15080.56,4038.46,1.72,20.37,66,1051,59.09,41.01,92.86,86.03
PSO_AT_00091.jpeg,17201.67,2220.95,1.95,13.09,33,756,78.79,38.89,100.0,91.88
PSO_AT_00119.jpeg,14614.78,4099.01,1.67,20.24,73,991,41.1,56.81,88.24,97.4
PSO_AT_00163.jpeg,15029.02,2398.77,1.72,13.01,6,651,0.0,43.78,0.0,91.05
PSO_DAN_00062.jpg,14936.11,151.78,1.72,8.24,423,297,29.79,75.76,94.74,98.68
PSO_DAN_00165.jpg,15527.55,3109.27,1.72,16.78,68,837,52.94,66.19,97.3,98.4
PSO_IS_00060.jpg,15504.64,117.65,1.72,8.24,46,1,47.83,0.0,95.65,0.0
PSO_IS_00077.jpg,15262.08,120.74,1.72,8.24,123,0,16.26,0.0,90.91,0.0
PSO_IS_00087.jpg,14767.95,162.72,1.72,8.24,800,72,90.5,65.28,100.0,97.92
PSO_IS_00118 - Copy.jpg,15486.77,171.02,1.72,8.24,88,201,19.32,70.15,56.67,100.0
PSO_IS_00131.jpg,16399.17,245.44,1.72,8.24,800,249,95.0,81.53,100.0,100.0
PSO_IS_00145.jpg,15454.19,199.58,1.73,8.28,800,301,92.5,63.79,99.87,98.97
PSO_NET_00201.jpeg,13956.62,3013.41,1.72,14.42,27,687,0.0,82.39,0.0,99.47
PSO_NET_00209.jpeg,16086.44,1782.21,1.72,10.82,0,584,0.0,47.95,0.0,92.11
PSO_NET_00274.jpeg,15462.15,2816.2,1.72,13.44,1,556,0.0,63.13,0.0,93.85
PSO_NET_00331.jpeg,16023.29,3717.83,1.72,17.21,244,841,46.72,59.69,99.13,96.72
PSO_NET_00563.jpeg,15555.8,163.71,1.72,8.24,455,183,40.66,77.05,96.86,99.3
PSO_NET_00612.jpeg,16171.75,4319.74,1.72,22.35,65,938,0.0,66.63,0.0,99.36
PSO_NET_00658.jpeg,18533.9,21023.85,1.72,45.99,41,2324,53.66,54.0,100.0,98.43
PSO_NET_00667.jpeg,20006.67,223.33,1.72,8.24,753,237,45.15,84.81,97.7,99.01
PSO_NET_00677.jpeg,16891.71,168.27,1.72,8.24,2,294,0.0,75.85,0.0,98.67
PSO_NET_00689.jpeg,17969.07,255.62,1.72,8.24,800,275,67.38,80.73,99.26,100.0
PSO_NET_00730.jpeg,22211.36,2905.76,1.72,12.62,22,576,27.27,48.78,46.15,96.56
PSO_NET_00737.jpeg,18190.58,175.13,1.72,8.24,25,220,28.0,83.18,58.33,100.0
PSO_SD_00162.jpg,16488.7,180.29,1.72,8.24,800,279,61.88,78.14,98.8,99.09
PSO_SD_00168.jpg,16411.32,254.85,1.72,8.24,800,353,93.25,74.79,99.73,100.0
PSO_SD_00189.jpg,18345.67,179.41,1.72,8.24,800,106,93.62,74.53,99.87,100.0
PS_MISC_00014.jpeg,15485.26,4655.89,1.72,21.77,302,1032,65.56,66.47,97.54,99.28
PS_MISC_00015.jpeg,16219.01,1474.42,1.72,8.98,56,367,39.29,54.22,88.0,93.43
PS_MISC_00016.jpeg,16086.01,144.8,1.72,8.24,317,487,55.21,81.31,95.63,100.0
PS_MISC_00017.jpeg,18150.67,139.16,1.72,8.24,53,216,13.21,80.56,30.43,99.43
PS_MISC_00018.jpeg,20631.86,258.62,1.72,8.24,21,69,0.0,78.26,0.0,98.18
PS_MISC_00020.jpeg,18254.59,212.92,1.72,8.24,21,140,0.0,82.14,0.0,100.0
PS_MISC_00023.jpeg,22026.37,185.52,1.72,8.24,39,238,10.26,79.41,36.36,97.93
PS_MISC_00025.jpeg,16600.48,212.7,1.72,8.24,418,408,34.21,83.82,96.62,100.0
PS_MISC_00027.jpeg,16154.29,3901.38,1.72,16.87,140,1089,50.0,43.43,98.59,96.33
PS_MISC_00028.jpeg,15146.34,166.72,1.72,8.24,537,265,40.41,2.64,96.44,58.33
PS_MISC_00029.jpeg,14837.49,153.31,1.72,8.24,66,280,46.97,63.93,88.57,97.81
PS_MISC_00044.jpeg,15129.14,6017.45,1.72,26.22,139,1257,61.87,21.8,98.85,87.82
