Filename,SIFT_Time_ms,Std_Time_ms,Enh_Time_ms,SIFT_Mem_MB,Std_Mem_MB,Enh_Mem_MB,SIFT_Density,Std_Density,Enh_Density,SIFT_Rep_%,Std_Rep_%,Enh_Rep_%,SIFT_Match_%,Std_Match_%,Enh_Match_%
PSO_AT_00002.jpeg,99.01,12626.77,2724.06,0.4,1.72,19.86,109,102,898,29.36,28.43,60.13,88.89,85.29,96.43
PSO_AT_00007.jpeg,104.6,11028.3,2871.84,0.35,1.72,20.14,18,17,862,0.0,0.0,59.86,0.0,0.0,97.36
PSO_AT_00015.jpeg,88.6,18880.07,4504.27,0.36,1.72,22.83,22,22,1024,0.0,0.0,44.53,0.0,0.0,88.54
PSO_AT_00016.jpeg,58.49,18677.15,117.63,0.4,1.72,8.24,102,103,7,43.14,44.66,0.0,91.67,93.88,0.0
PSO_AT_00021.jpeg,91.09,19196.69,2887.98,0.35,1.72,14.77,3,5,632,0.0,0.0,51.42,0.0,0.0,95.03
PSO_AT_00023.jpeg,107.86,15469.37,6285.94,0.36,1.72,28.26,30,32,1355,23.33,21.88,39.93,43.75,41.18,92.16
PSO_AT_00029.jpeg,97.61,14730.75,6208.95,0.39,1.72,29.9,83,86,1575,53.01,50.0,41.02,97.78,95.56,92.55
PSO_AT_00032.jpeg,74.32,13550.61,4538.74,0.37,1.72,22.03,43,38,1000,0.0,0.0,54.0,0.0,0.0,95.41
PSO_AT_00036.jpeg,99.01,20901.57,4701.43,0.35,1.72,23.34,15,15,1041,0.0,0.0,44.67,0.0,0.0,85.16
PSO_AT_00039.jpeg,55.49,12818.04,6142.64,0.38,1.72,23.0,60,61,1347,50.0,45.9,72.98,93.75,87.5,97.13
PSO_AT_00046.jpeg,65.08,20103.06,4972.55,0.41,1.67,18.11,144,145,976,59.72,62.76,60.76,97.73,97.85,97.21
PSO_AT_00047.jpeg,62.57,18481.44,5624.25,0.38,1.72,20.37,62,66,1051,62.9,59.09,41.01,95.12,92.86,86.03
PSO_AT_00091.jpeg,73.38,21839.5,2385.93,0.41,1.95,13.09,34,33,756,38.24,78.79,38.89,48.15,100.0,91.88
PSO_AT_00119.jpeg,82.83,17511.24,5771.7,0.38,1.67,20.24,76,73,991,35.53,41.1,56.81,81.82,88.24,97.4
PSO_AT_00163.jpeg,100.38,15115.5,2448.0,0.35,1.72,13.01,6,6,651,0.0,0.0,43.78,0.0,0.0,91.05
PSO_DAN_00062.jpg,80.68,13531.29,166.33,0.57,1.72,8.24,417,423,297,31.89,29.79,75.76,94.33,94.74,98.68
PSO_DAN_00165.jpg,76.89,15559.94,3184.39,0.38,1.72,16.78,73,68,837,52.05,52.94,66.19,100.0,97.3,98.4
PSO_IS_00060.jpg,73.88,15263.65,75.79,0.37,1.72,8.24,45,46,1,48.89,47.83,0.0,91.67,95.65,0.0
PSO_IS_00077.jpg,85.81,14853.12,148.29,0.41,1.72,8.24,118,123,0,16.95,16.26,0.0,90.91,90.91,0.0
PSO_IS_00087.jpg,109.34,15691.78,156.36,1.8,1.72,8.24,2681,800,72,44.98,90.5,65.28,99.67,100.0,97.92
PSO_IS_00118 - Copy.jpg,44.9,15683.07,178.4,0.39,1.72,8.24,88,88,201,21.59,19.32,70.15,90.48,56.67,100.0
PSO_IS_00131.jpg,75.78,14030.78,122.7,1.34,1.72,8.24,1847,800,249,52.36,95.0,81.53,99.38,100.0,100.0
PSO_IS_00145.jpg,72.8,14241.55,124.49,1.59,1.73,8.28,2297,800,301,47.1,92.5,63.79,98.9,99.87,98.97
PSO_NET_00201.jpeg,62.78,15608.22,3107.66,0.36,1.72,14.42,28,27,687,0.0,0.0,82.39,0.0,0.0,99.47
PSO_NET_00209.jpeg,52.82,12285.25,1514.58,0.34,1.72,10.82,0,0,584,0.0,0.0,47.95,0.0,0.0,92.11
PSO_NET_00274.jpeg,50.14,12149.41,1932.11,0.34,1.72,13.44,1,1,556,0.0,0.0,63.13,0.0,0.0,93.85
PSO_NET_00331.jpeg,49.6,13819.12,2523.99,0.48,1.72,17.21,246,244,841,44.72,46.72,59.69,99.1,99.13,96.72
PSO_NET_00563.jpeg,43.97,12402.88,112.57,0.59,1.72,8.24,459,455,183,40.74,40.66,77.05,96.89,96.86,99.3
PSO_NET_00612.jpeg,45.7,11055.95,3055.89,0.38,1.72,22.35,64,65,938,0.0,0.0,66.63,0.0,0.0,99.36
PSO_NET_00658.jpeg,61.09,12663.38,6874.34,0.37,1.72,45.99,40,41,2324,57.5,53.66,54.0,100.0,100.0,98.43
PSO_NET_00667.jpeg,97.29,11498.67,112.97,0.76,1.72,8.24,768,753,237,46.22,45.15,84.81,98.61,97.7,99.01
PSO_NET_00677.jpeg,46.76,11082.55,108.05,0.34,1.72,8.24,1,2,294,0.0,0.0,75.85,0.0,0.0,98.67
PSO_NET_00689.jpeg,57.26,10653.84,110.35,0.92,1.72,8.24,1057,800,275,50.05,67.38,80.73,98.33,99.26,100.0
PSO_NET_00730.jpeg,53.24,12638.45,2391.74,0.35,1.72,12.62,19,22,576,31.58,27.27,48.78,50.0,46.15,96.56
PSO_NET_00737.jpeg,97.18,12702.79,115.88,0.36,1.72,8.24,28,25,220,25.0,28.0,83.18,58.33,58.33,100.0
PSO_SD_00162.jpg,52.65,12388.95,129.4,0.82,1.72,8.24,875,800,279,57.37,61.88,78.14,99.01,98.8,99.09
PSO_SD_00168.jpg,78.51,15504.7,152.07,1.36,1.72,8.24,1870,800,353,50.59,93.25,74.79,98.95,99.73,100.0
PSO_SD_00189.jpg,120.23,14772.15,117.75,2.0,1.72,8.24,3053,800,106,48.15,93.62,74.53,99.32,99.87,100.0
PS_MISC_00014.jpeg,48.69,13502.85,4937.14,0.5,1.72,21.77,292,302,1032,65.07,65.56,66.47,95.96,97.54,99.28
PS_MISC_00015.jpeg,82.0,15813.73,1656.18,0.37,1.72,8.98,56,56,367,41.07,39.29,54.22,95.83,88.0,93.43
PS_MISC_00016.jpeg,50.05,12812.67,143.9,0.52,1.72,8.24,324,317,487,55.25,55.21,81.31,96.24,95.63,100.0
PS_MISC_00017.jpeg,99.67,14950.95,100.66,0.37,1.72,8.24,53,53,216,45.28,13.21,80.56,96.0,30.43,99.43
PS_MISC_00018.jpeg,61.08,16060.74,230.0,0.36,1.72,8.24,21,21,69,0.0,0.0,78.26,0.0,0.0,98.18
PS_MISC_00020.jpeg,43.82,13525.65,108.61,0.35,1.72,8.24,20,21,140,0.0,0.0,82.14,0.0,0.0,100.0
PS_MISC_00023.jpeg,82.71,18491.41,149.18,0.36,1.72,8.24,37,39,238,0.0,10.26,79.41,0.0,36.36,97.93
PS_MISC_00025.jpeg,57.02,13882.94,263.6,0.57,1.72,8.24,423,418,408,32.86,34.21,83.82,95.86,96.62,100.0
PS_MISC_00027.jpeg,43.25,14004.97,3002.4,0.42,1.72,16.87,143,140,1089,51.05,50.0,43.43,96.05,98.59,96.33
PS_MISC_00028.jpeg,90.76,17922.15,156.45,0.64,1.72,8.24,548,537,265,41.79,40.41,2.64,93.85,96.44,58.33
PS_MISC_00029.jpeg,90.35,13105.68,116.07,0.38,1.72,8.24,67,66,280,46.27,46.97,63.93,86.11,88.57,97.81
PS_MISC_00044.jpeg,70.7,13445.0,4157.57,0.42,1.72,26.22,143,139,1257,59.44,61.87,21.8,98.84,98.85,87.82
