Filename,Std_Time_ms,Enh_Time_ms,Std_Keypoints,Enh_Keypoints,Density_Increase,Std_Repeatability,Enh_Repeatability,Std_MatchingScore,Enh_MatchingScore
PSO_DAN_00105 - Copy.jpg,3931.55,782.38,8257,2721,-5536,92.02,92.14,69.65,42.93
PSO_DAN_00113 - Copy.jpg,1869.1,466.17,493,2652,2159,66.94,91.86,55.58,33.3
PSO_DAN_00114 - Copy.jpg,3644.58,210.68,707,16,-691,79.07,93.75,70.16,50.0
PSO_DAN_00116 - Copy.jpg,1813.39,251.58,1393,1371,-22,86.43,91.68,68.05,37.78
PSO_IS_00042 - Copy.jpg,1671.61,397.69,506,2145,1639,83.79,85.78,68.18,35.99
PSO_IS_00046 - Copy.jpg,3959.05,594.08,1297,2769,1472,66.77,80.75,53.66,32.43
PSO_IS_00048 - Copy.jpg,3712.15,954.99,823,4645,3822,80.19,83.34,67.19,33.95
PSO_IS_00060 - Copy.jpg,1674.79,87.95,181,0,-181,91.16,0.0,74.03,0.0
PSO_IS_00072 - Copy.jpg,3957.31,225.21,528,2,-526,77.46,100.0,64.77,100.0
PSO_IS_00076 - Copy.jpg,3804.37,1040.71,340,5886,5546,89.41,92.24,73.82,31.62
PSO_IS_00087 - Copy.jpg,3827.69,976.49,3556,4621,1065,82.9,87.38,65.69,36.01
PSO_IS_00100 - Copy.jpg,1718.89,410.31,1034,1912,878,84.62,95.5,67.79,35.67
PSO_IS_00118 - Copy.jpg,4169.19,304.14,415,1,-414,85.06,0.0,72.05,0.0
PSO_IS_00119 - Copy.jpg,4036.4,685.6,528,3029,2501,75.0,93.83,63.45,32.98
PSO_IS_00131 - Copy.jpg,2165.83,266.32,1407,936,-471,89.2,98.29,70.08,54.91
PSO_IS_00178 - Copy.jpg,3782.07,674.21,1324,3340,2016,63.22,93.08,52.95,38.2
PSO_IS_00208 - Copy.jpg,3421.77,1057.25,1794,4974,3180,78.09,95.52,64.16,36.51
PSO_SD_00012 - Copy.jpg,1768.54,314.45,688,1788,1100,86.19,90.83,68.6,29.03
PSO_SD_00057 - Copy.jpg,1780.23,448.56,1092,2483,1391,84.89,91.7,68.86,35.96
PSO_SD_00069 - Copy.jpg,1750.67,485.04,623,2552,1929,86.84,90.28,71.75,34.17
PSO_SD_00077 - Copy.jpg,1779.21,157.33,1015,120,-895,87.0,80.0,70.74,65.0
PSO_SD_00085 - Copy.jpg,4448.74,223.78,889,23,-866,79.42,91.3,68.62,91.3
PSO_SD_00087 - Copy.jpg,1766.15,125.84,508,93,-415,84.84,67.74,71.85,58.06
PSO_SD_00098.jpg,1763.66,479.69,552,2798,2246,88.41,88.81,72.64,29.52
PSO_SD_00105.jpg,1760.77,565.24,534,2644,2110,73.6,84.19,61.24,29.39
PSO_SD_00109.jpg,1752.67,177.82,2221,1088,-1133,77.71,94.94,62.22,36.67
PSO_SD_00114 - Copy.jpg,1762.35,471.23,303,2727,2424,72.94,92.19,53.14,27.25
PSO_SD_00121.jpg,4425.76,709.16,927,3418,2491,82.2,96.28,69.9,43.97
PSO_SD_00132.jpg,1763.71,661.9,937,3675,2738,87.94,59.48,69.69,25.82
PSO_SD_00137 - Copy.jpg,4400.1,1553.83,2340,8501,6161,81.41,73.33,68.76,28.67
PSO_SD_00163 - Copy.jpg,1827.4,596.63,1149,2929,1780,87.29,86.65,74.59,36.74
PSO_SD_00164 - Copy.jpg,1772.95,532.21,710,2847,2137,90.7,85.99,71.83,32.03
PSO_SD_00181.jpg,4476.83,1095.38,2311,5818,3507,85.68,94.21,72.7,39.89
PSO_SD_00183.jpg,4405.67,1048.07,1974,5557,3583,77.36,93.65,68.09,38.6
PSO_SD_00186 - Copy.jpg,1750.31,234.58,2304,1097,-1207,90.54,84.05,73.48,36.01
PSO_SD_00189.jpg,1776.66,603.98,1407,3324,1917,76.05,88.78,63.89,33.87
PSO_SD_00200 - Copy.jpg,1759.56,620.81,1987,3149,1162,86.21,85.65,69.7,35.98
PSO_SD_00200.jpg,1769.1,628.41,1987,3149,1162,86.21,85.65,69.7,35.98
PSO_SD_00203 - Copy.jpg,2083.84,426.26,484,2328,1844,75.41,94.29,63.43,28.87
PS_MISC_00003 - Copy.jpeg,2560.66,566.17,966,2858,1892,75.05,87.33,60.77,34.5
PS_MISC_00004 - Copy.jpeg,2561.24,921.45,589,4982,4393,70.8,88.54,61.46,35.39
PS_MISC_00004.jpeg,2578.79,907.81,589,4982,4393,70.8,88.54,61.46,35.39
PS_MISC_00016 - Copy.jpeg,2683.29,732.07,317,3754,3437,74.76,86.68,64.04,37.11
PS_MISC_00016.jpeg,2561.34,717.48,317,3754,3437,74.76,86.68,64.04,37.11
PS_MISC_00038 - Copy.jpeg,2568.04,679.23,868,3314,2446,76.84,85.91,63.25,36.75
PS_MISC_00043 - Copy.jpeg,2574.46,477.72,648,2830,2182,84.57,93.99,79.17,37.99
PS_MISC_00045.jpeg,2548.72,477.01,466,2233,1767,77.9,94.09,71.46,47.42
PS_MISC_00047.jpeg,2702.59,711.87,2629,3858,1229,86.61,87.64,73.53,41.81
PS_MISC_00048.jpeg,2620.6,605.95,3505,3380,-125,92.21,91.54,70.73,35.09
PS_MISC_00053 - Copy.jpeg,2558.64,904.85,1217,4034,2817,85.05,88.0,77.16,42.12
