Filename,Std_Time_ms,Enh_Time_ms,Time_Improvement_%,Std_Keypoints,Enh_Keypoints,Density_Increase,Std_Repeatability,Enh_Repeatability,Std_Distinctiveness,Enh_Distinctiveness
PSO_DAN_00105 - Copy.jpg,3419.7,284.39,91.68,8257,18999,10742,78.43,65.85,1143.66,155.1
PSO_DAN_00113 - Copy.jpg,1586.91,139.87,91.19,493,4907,4414,78.06,41.65,1454.35,196.93
PSO_DAN_00114 - Copy.jpg,3282.14,219.89,93.3,707,5998,5291,81.58,53.93,1314.59,202.25
PSO_DAN_00116 - Copy.jpg,1502.98,112.55,92.51,1393,5691,4298,68.05,50.85,1283.55,190.84
PSO_IS_00042 - Copy.jpg,1462.98,93.24,93.63,506,4347,3841,68.18,30.95,1272.99,207.43
PSO_IS_00046 - Copy.jpg,3420.14,241.15,92.95,1297,12750,11453,77.77,20.07,1163.54,172.63
PSO_IS_00048 - Copy.jpg,3285.24,232.49,92.92,823,5839,5016,72.1,35.4,1314.27,211.18
PSO_IS_00060 - Copy.jpg,1476.88,70.35,95.24,181,375,194,74.03,59.73,1293.72,165.73
PSO_IS_00072 - Copy.jpg,3500.0,220.19,93.71,528,3483,2955,71.25,25.97,1254.64,186.39
PSO_IS_00076 - Copy.jpg,3368.72,241.6,92.83,340,10957,10617,74.26,21.2,1326.59,184.96
PSO_IS_00087 - Copy.jpg,3384.58,207.29,93.88,3556,5601,2045,70.77,42.38,1150.98,182.53
PSO_IS_00100 - Copy.jpg,1526.45,127.48,91.65,1034,5132,4098,67.79,49.89,1347.08,201.15
PSO_IS_00118 - Copy.jpg,3585.26,171.51,95.22,415,3296,2881,72.05,32.81,1279.41,165.47
PSO_IS_00119 - Copy.jpg,3517.16,197.42,94.39,528,4445,3917,68.37,38.39,1242.78,141.31
PSO_IS_00131 - Copy.jpg,1907.82,159.89,91.62,1407,8999,7592,74.42,37.24,1254.27,173.23
PSO_IS_00178 - Copy.jpg,3342.66,224.48,93.28,1324,6608,5284,76.36,57.51,1344.51,214.71
PSO_IS_00208 - Copy.jpg,3012.03,233.7,92.24,1794,12787,10993,66.76,47.68,1220.0,164.28
PSO_SD_00012 - Copy.jpg,1567.52,90.66,94.22,688,3152,2464,75.28,21.71,1250.25,196.1
PSO_SD_00057 - Copy.jpg,1552.22,99.33,93.6,1092,3535,2443,68.86,30.75,1234.97,182.51
PSO_SD_00069 - Copy.jpg,1536.43,78.45,94.89,623,908,285,71.75,57.93,1228.21,205.07
PSO_SD_00077 - Copy.jpg,1544.24,103.07,93.33,1015,3684,2669,70.74,49.95,1193.5,217.53
PSO_SD_00085 - Copy.jpg,3882.25,224.69,94.21,889,2966,2077,83.22,35.47,1295.1,268.0
PSO_SD_00087 - Copy.jpg,1555.35,83.27,94.65,508,2211,1703,71.85,33.56,1374.17,216.39
PSO_SD_00098.jpg,1558.82,117.38,92.47,552,3110,2558,72.64,23.52,1241.51,223.29
PSO_SD_00105.jpg,1585.55,98.77,93.77,534,3290,2756,67.28,19.3,1286.17,226.42
PSO_SD_00109.jpg,1558.96,125.64,91.94,2221,7237,5016,64.4,40.94,1201.14,174.05
PSO_SD_00114 - Copy.jpg,1546.03,78.34,94.93,303,662,359,57.91,41.24,1266.69,236.61
PSO_SD_00121.jpg,3881.16,249.96,93.56,927,6543,5616,82.97,53.25,1275.06,199.25
PSO_SD_00132.jpg,1551.11,106.86,93.11,937,4672,3735,69.69,32.73,1249.04,199.99
PSO_SD_00137 - Copy.jpg,3871.28,272.87,92.95,2340,8984,6644,81.63,43.13,1252.73,191.23
PSO_SD_00163 - Copy.jpg,1558.13,104.28,93.31,1149,4842,3693,74.59,32.72,1163.18,157.67
PSO_SD_00164 - Copy.jpg,1592.46,73.72,95.37,710,1105,395,71.83,62.17,1222.14,188.46
PSO_SD_00181.jpg,3976.01,287.04,92.78,2311,11563,9252,83.58,52.32,1240.98,195.55
PSO_SD_00183.jpg,3871.85,273.3,92.94,1974,8404,6430,79.81,41.52,1320.61,218.41
PSO_SD_00186 - Copy.jpg,1555.92,97.94,93.71,2304,3698,1394,73.48,64.55,1176.62,172.0
PSO_SD_00189.jpg,1542.39,112.74,92.69,1407,5525,4118,64.86,40.92,1197.39,173.06
PSO_SD_00200 - Copy.jpg,1564.42,104.73,93.31,1987,4797,2810,69.7,43.15,1264.04,219.89
PSO_SD_00200.jpg,1564.7,106.38,93.2,1987,4797,2810,69.7,43.15,1264.04,219.89
PSO_SD_00203 - Copy.jpg,1801.87,110.89,93.85,484,3024,2540,71.4,20.51,1373.43,244.17
PS_MISC_00003 - Copy.jpeg,2253.01,152.49,93.23,966,4960,3994,78.06,26.07,1343.45,216.41
PS_MISC_00004 - Copy.jpeg,2228.36,202.81,90.9,589,5585,4996,77.68,24.37,1334.25,225.02
PS_MISC_00004.jpeg,2291.16,153.67,93.29,589,5585,4996,77.68,24.37,1334.25,225.02
PS_MISC_00016 - Copy.jpeg,2252.24,159.33,92.93,317,8026,7709,72.5,20.21,1327.94,214.05
PS_MISC_00016.jpeg,2250.88,177.95,92.09,317,8026,7709,72.5,20.21,1327.94,214.05
PS_MISC_00038 - Copy.jpeg,2255.38,146.83,93.49,868,4972,4104,73.59,47.91,1328.15,178.76
PS_MISC_00043 - Copy.jpeg,2257.74,144.41,93.6,648,2687,2039,83.01,25.05,1260.85,266.83
PS_MISC_00045.jpeg,2240.42,129.1,94.24,466,1340,874,80.24,36.87,1263.72,217.16
PS_MISC_00047.jpeg,2261.04,173.28,92.34,2629,9930,7301,83.79,55.99,1212.48,184.69
PS_MISC_00048.jpeg,2255.39,183.49,91.86,3505,5818,2313,81.44,50.46,1153.41,155.76
PS_MISC_00053 - Copy.jpeg,2257.85,144.92,93.58,1217,4290,3073,82.3,44.81,1236.16,217.53
